"Year","Month","Value"
2015,"Jan",3.6
2015,"Feb",3.7
2015,"Mar",3.4
2015,"Apr",3.1
2015,"May",3.2
2015,"Jun",3.3
2015,"Jul",3.1
2015,"Aug",2.9
2015,"Sep",2.5
2015,"Oct",2.6
2015,"Nov",2.6
2015,"Dec",2.5
2016,"Jan",2.9
2016,"Feb",3.1
2016,"Mar",2.9
2016,"Apr",2.7
2016,"May",2.7
2016,"Jun",3.1
2016,"Jul",2.9
2016,"Aug",2.8
2016,"Sep",2.4
2016,"Oct",2.4
2016,"Nov",2.1
2016,"Dec",2.1
2017,"Jan",2.6
2017,"Feb",2.5
2017,"Mar",2
2017,"Apr",1.9
2017,"May",2.1
2017,"Jun",2.5
2017,"Jul",2.5
2017,"Aug",2.5
2017,"Sep",2.3
2017,"Oct",2.4
2017,"Nov",2.5
2017,"Dec",2.4
2018,"Jan",2.7
2018,"Feb",3
2018,"Mar",2.7
2018,"Apr",2.6
2018,"May",2.5
2018,"Jun",3.1
2018,"Jul",3.1
2018,"Aug",3
2018,"Sep",2.7
2018,"Oct",2.7
2018,"Nov",2.6
2018,"Dec",2.6
2019,"Jan",2.9
2019,"Feb",2.7
2019,"Mar",2.5
2019,"Apr",2.2
2019,"May",2.1
2019,"Jun",2.6
2019,"Jul",2.5
2019,"Aug",2.4
2019,"Sep",2.2
2019,"Oct",2.2
2019,"Nov",2.2
2019,"Dec",2.2
2020,"Jan",2.7
2020,"Feb",2.9
2020,"Mar",3.4
2020,"Apr",9.2
2020,"May",10.2
2020,"Jun",10.6
2020,"Jul",6.4
2020,"Aug",5.5
2020,"Sep",5.5
2020,"Oct",5.1
2020,"Nov",5.2
2020,"Dec",5.5
2021,"Jan",5.8
2021,"Feb",5.4
2021,"Mar",5.3
2021,"Apr",5.1
2021,"May",4.8
2021,"Jun",5.5
2021,"Jul",4.9
2021,"Aug",4.5
2021,"Sep",3.9
2021,"Oct",3.8
2021,"Nov",3.4
2021,"Dec",3.2
2022,"Jan",3.6
2022,"Feb",3.4
2022,"Mar",2.9
2022,"Apr",2.5
2022,"May",2.5
2022,"Jun",2.8
2022,"Jul",2.8
2022,"Aug",2.5
2022,"Sep",2.3
2022,"Oct",2.5
2022,"Nov",2.5
2022,"Dec",2.3
2023,"Jan",2.7
2023,"Feb",3.1
2023,"Mar",2.7
2023,"Apr",2.4
2023,"May",2.9
2023,"Jun",3.6
2023,"Jul",3.4
2023,"Aug",3.5
2023,"Sep",3.2
2023,"Oct",3.4
2023,"Nov",3.3
2023,"Dec",3.4
2024,"Jan",3.8
2024,"Feb",3.9
2024,"Mar",3.6
2024,"Apr",3.6
2024,"May",4
2024,"Jun",4.5
2024,"Jul",4.7
2024,"Aug",4.7
2024,"Sep",4.3
2024,"Oct",4.4
2024,"Nov",4.6
2024,"Dec",4.3
2025,"Jan",4.7
2025,"Feb",5
2025,"Mar",4.6
2025,"Apr",NA
2025,"May",NA
2025,"Jun",NA
2025,"Jul",NA
2025,"Aug",NA
2025,"Sep",NA
2025,"Oct",NA
2025,"Nov",NA
2025,"Dec",NA
