"Year","Month","Value"
2015,"Jan",5.9
2015,"Feb",5.6
2015,"Mar",5.3
2015,"Apr",4.8
2015,"May",5.1
2015,"Jun",5.5
2015,"Jul",5.6
2015,"Aug",5.2
2015,"Sep",5.1
2015,"Oct",5
2015,"Nov",4.9
2015,"Dec",4.7
2016,"Jan",4.9
2016,"Feb",4.7
2016,"Mar",4.7
2016,"Apr",4.4
2016,"May",4.4
2016,"Jun",5.1
2016,"Jul",5.2
2016,"Aug",5.1
2016,"Sep",5.1
2016,"Oct",4.8
2016,"Nov",4.7
2016,"Dec",4.7
2017,"Jan",5.2
2017,"Feb",5.2
2017,"Mar",4.8
2017,"Apr",4.3
2017,"May",4.4
2017,"Jun",4.8
2017,"Jul",4.7
2017,"Aug",4.7
2017,"Sep",4.2
2017,"Oct",3.9
2017,"Nov",4.1
2017,"Dec",4.1
2018,"Jan",4.5
2018,"Feb",4.5
2018,"Mar",4.3
2018,"Apr",3.9
2018,"May",3.9
2018,"Jun",4.5
2018,"Jul",4.4
2018,"Aug",4.2
2018,"Sep",4.1
2018,"Oct",3.8
2018,"Nov",3.8
2018,"Dec",3.9
2019,"Jan",4.4
2019,"Feb",4.1
2019,"Mar",3.7
2019,"Apr",3.2
2019,"May",3.3
2019,"Jun",4
2019,"Jul",4
2019,"Aug",3.9
2019,"Sep",3.6
2019,"Oct",3.5
2019,"Nov",3.5
2019,"Dec",3.3
2020,"Jan",3.8
2020,"Feb",3.6
2020,"Mar",5.4
2020,"Apr",13.4
2020,"May",12.9
2020,"Jun",10.9
2020,"Jul",9.7
2020,"Aug",7.9
2020,"Sep",7.7
2020,"Oct",6.8
2020,"Nov",7.7
2020,"Dec",7.3
2021,"Jan",7.6
2021,"Feb",7.3
2021,"Mar",6.8
2021,"Apr",6.3
2021,"May",6
2021,"Jun",6.8
2021,"Jul",6.1
2021,"Aug",5.7
2021,"Sep",5.2
2021,"Oct",5
2021,"Nov",4.6
2021,"Dec",4.3
2022,"Jan",4.9
2022,"Feb",4.6
2022,"Mar",4
2022,"Apr",3.7
2022,"May",3.9
2022,"Jun",4.4
2022,"Jul",4.2
2022,"Aug",4.2
2022,"Sep",4.1
2022,"Oct",4.1
2022,"Nov",4.1
2022,"Dec",3.8
2023,"Jan",4.5
2023,"Feb",4.7
2023,"Mar",4.3
2023,"Apr",3.8
2023,"May",4.1
2023,"Jun",4.3
2023,"Jul",4.6
2023,"Aug",4.6
2023,"Sep",4.3
2023,"Oct",4.2
2023,"Nov",3.9
2023,"Dec",3.8
2024,"Jan",4.3
2024,"Feb",4.4
2024,"Mar",4.1
2024,"Apr",3.7
2024,"May",3.9
2024,"Jun",4.5
2024,"Jul",4.5
2024,"Aug",4.5
2024,"Sep",4.1
2024,"Oct",4.1
2024,"Nov",4.2
2024,"Dec",3.7
2025,"Jan",4.2
2025,"Feb",4.4
2025,"Mar",4.2
2025,"Apr",NA
2025,"May",NA
2025,"Jun",NA
2025,"Jul",NA
2025,"Aug",NA
2025,"Sep",NA
2025,"Oct",NA
2025,"Nov",NA
2025,"Dec",NA
